countrycode,countryname,region,regionname,incomelevel,incomelevelname,lendingtype,lendingtypename
AFG,Afghanistan,SAS,South Asia,LIC,Low income,IDX,IDA
ALB,Albania,ECS,Europe and Central Asia,UMC,Upper middle income,IBD,IBRD
DZA,Algeria,MEA,Middle East and North Africa,LMC,Lower middle income,IBD,IBRD
ASM,American Samoa,EAS,East Asia and Pacific,UMC,Upper middle income,LNX,Not classified
AND,Andorra,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
AGO,Angola,SSF,Sub-Saharan Africa,LMC,Lower middle income,IBD,IBRD
ATG,Antigua and Barbuda,LCN,Latin America and Caribbean,HIC,High income,IBD,IBRD
ARG,Argentina,LCN,Latin America and Caribbean,UMC,Upper middle income,IBD,IBRD
ARM,Armenia,ECS,Europe and Central Asia,UMC,Upper middle income,IBD,IBRD
ABW,Aruba,LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified
AUS,Australia,EAS,East Asia and Pacific,HIC,High income,LNX,Not classified
AUT,Austria,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
AZE,Azerbaijan,ECS,Europe and Central Asia,UMC,Upper middle income,IBD,IBRD
BHS,"Bahamas, The",LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified
BHR,Bahrain,MEA,Middle East and North Africa,HIC,High income,LNX,Not classified
BGD,Bangladesh,SAS,South Asia,LMC,Lower middle income,IDX,IDA
BRB,Barbados,LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified
BLR,Belarus,ECS,Europe and Central Asia,UMC,Upper middle income,IBD,IBRD
BEL,Belgium,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
BLZ,Belize,LCN,Latin America and Caribbean,UMC,Upper middle income,IBD,IBRD
BEN,Benin,SSF,Sub-Saharan Africa,LMC,Lower middle income,IDX,IDA
BMU,Bermuda,NAC,North America,HIC,High income,LNX,Not classified
BTN,Bhutan,SAS,South Asia,LMC,Lower middle income,IDX,IDA
BOL,Bolivia,LCN,Latin America and Caribbean,LMC,Lower middle income,IBD,IBRD
BIH,Bosnia and Herzegovina,ECS,Europe and Central Asia,UMC,Upper middle income,IBD,IBRD
BWA,Botswana,SSF,Sub-Saharan Africa,UMC,Upper middle income,IBD,IBRD
BRA,Brazil,LCN,Latin America and Caribbean,UMC,Upper middle income,IBD,IBRD
VGB,British Virgin Islands,LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified
BRN,Brunei Darussalam,EAS,East Asia and Pacific,HIC,High income,LNX,Not classified
BGR,Bulgaria,ECS,Europe and Central Asia,UMC,Upper middle income,IBD,IBRD
BFA,Burkina Faso,SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
BDI,Burundi,SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
CPV,Cabo Verde,SSF,Sub-Saharan Africa,LMC,Lower middle income,IDB,Blend
KHM,Cambodia,EAS,East Asia and Pacific,LMC,Lower middle income,IDX,IDA
CMR,Cameroon,SSF,Sub-Saharan Africa,LMC,Lower middle income,IDB,Blend
CAN,Canada,NAC,North America,HIC,High income,LNX,Not classified
CYM,Cayman Islands,LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified
CAF,Central African Republic,SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
TCD,Chad,SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
CHI,Channel Islands,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
CHL,Chile,LCN,Latin America and Caribbean,HIC,High income,IBD,IBRD
CHN,China,EAS,East Asia and Pacific,UMC,Upper middle income,IBD,IBRD
COL,Colombia,LCN,Latin America and Caribbean,UMC,Upper middle income,IBD,IBRD
COM,Comoros,SSF,Sub-Saharan Africa,LMC,Lower middle income,IDX,IDA
COD,"Congo, Dem Rep",SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
COG,"Congo, Rep",SSF,Sub-Saharan Africa,LMC,Lower middle income,IDB,Blend
CRI,Costa Rica,LCN,Latin America and Caribbean,UMC,Upper middle income,IBD,IBRD
CIV,Cote d'Ivoire,SSF,Sub-Saharan Africa,LMC,Lower middle income,IDX,IDA
HRV,Croatia,ECS,Europe and Central Asia,HIC,High income,IBD,IBRD
CUB,Cuba,LCN,Latin America and Caribbean,UMC,Upper middle income,LNX,Not classified
CUW,Curacao,LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified
CYP,Cyprus,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
CZE,Czech Republic,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
DNK,Denmark,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
DJI,Djibouti,MEA,Middle East and North Africa,LMC,Lower middle income,IDX,IDA
DMA,Dominica,LCN,Latin America and Caribbean,UMC,Upper middle income,IDB,Blend
DOM,Dominican Republic,LCN,Latin America and Caribbean,UMC,Upper middle income,IBD,IBRD
ECU,Ecuador,LCN,Latin America and Caribbean,UMC,Upper middle income,IBD,IBRD
EGY,"Egypt, Arab Rep",MEA,Middle East and North Africa,LMC,Lower middle income,IBD,IBRD
SLV,El Salvador,LCN,Latin America and Caribbean,LMC,Lower middle income,IBD,IBRD
GNQ,Equatorial Guinea,SSF,Sub-Saharan Africa,UMC,Upper middle income,IBD,IBRD
ERI,Eritrea,SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
EST,Estonia,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
SWZ,Eswatini,SSF,Sub-Saharan Africa,LMC,Lower middle income,IBD,IBRD
ETH,Ethiopia,SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
FRO,Faroe Islands,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
FJI,Fiji,EAS,East Asia and Pacific,UMC,Upper middle income,IDB,Blend
FIN,Finland,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
FRA,France,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
PYF,French Polynesia,EAS,East Asia and Pacific,HIC,High income,LNX,Not classified
GAB,Gabon,SSF,Sub-Saharan Africa,UMC,Upper middle income,IBD,IBRD
GMB,"Gambia, The",SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
GEO,Georgia,ECS,Europe and Central Asia,UMC,Upper middle income,IBD,IBRD
DEU,Germany,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
GHA,Ghana,SSF,Sub-Saharan Africa,LMC,Lower middle income,IDX,IDA
GIB,Gibraltar,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
GRC,Greece,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
GRL,Greenland,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
GRD,Grenada,LCN,Latin America and Caribbean,UMC,Upper middle income,IDB,Blend
GUM,Guam,EAS,East Asia and Pacific,HIC,High income,LNX,Not classified
GTM,Guatemala,LCN,Latin America and Caribbean,UMC,Upper middle income,IBD,IBRD
GIN,Guinea,SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
GNB,Guinea-Bissau,SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
GUY,Guyana,LCN,Latin America and Caribbean,UMC,Upper middle income,IDX,IDA
HTI,Haiti,LCN,Latin America and Caribbean,LIC,Low income,IDX,IDA
HND,Honduras,LCN,Latin America and Caribbean,LMC,Lower middle income,IDX,IDA
HKG,"Hong Kong SAR, China",EAS,East Asia and Pacific,HIC,High income,LNX,Not classified
HUN,Hungary,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
ISL,Iceland,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
IND,India,SAS,South Asia,LMC,Lower middle income,IBD,IBRD
IDN,Indonesia,EAS,East Asia and Pacific,UMC,Upper middle income,IBD,IBRD
IRN,"Iran, Islamic Rep",MEA,Middle East and North Africa,UMC,Upper middle income,IBD,IBRD
IRQ,Iraq,MEA,Middle East and North Africa,UMC,Upper middle income,IBD,IBRD
IRL,Ireland,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
IMN,Isle of Man,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
ISR,Israel,MEA,Middle East and North Africa,HIC,High income,LNX,Not classified
ITA,Italy,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
JAM,Jamaica,LCN,Latin America and Caribbean,UMC,Upper middle income,IBD,IBRD
JPN,Japan,EAS,East Asia and Pacific,HIC,High income,LNX,Not classified
JOR,Jordan,MEA,Middle East and North Africa,UMC,Upper middle income,IBD,IBRD
KAZ,Kazakhstan,ECS,Europe and Central Asia,UMC,Upper middle income,IBD,IBRD
KEN,Kenya,SSF,Sub-Saharan Africa,LMC,Lower middle income,IDB,Blend
KIR,Kiribati,EAS,East Asia and Pacific,LMC,Lower middle income,IDX,IDA
PRK,"Korea, Dem People’s Rep",EAS,East Asia and Pacific,LIC,Low income,LNX,Not classified
KOR,"Korea, Rep",EAS,East Asia and Pacific,HIC,High income,LNX,Not classified
XKX,Kosovo,ECS,Europe and Central Asia,UMC,Upper middle income,IDX,IDA
KWT,Kuwait,MEA,Middle East and North Africa,HIC,High income,LNX,Not classified
KGZ,Kyrgyz Republic,ECS,Europe and Central Asia,LMC,Lower middle income,IDX,IDA
LAO,Lao PDR,EAS,East Asia and Pacific,LMC,Lower middle income,IDX,IDA
LVA,Latvia,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
LBN,Lebanon,MEA,Middle East and North Africa,UMC,Upper middle income,IBD,IBRD
LSO,Lesotho,SSF,Sub-Saharan Africa,LMC,Lower middle income,IDX,IDA
LBR,Liberia,SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
LBY,Libya,MEA,Middle East and North Africa,UMC,Upper middle income,IBD,IBRD
LIE,Liechtenstein,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
LTU,Lithuania,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
LUX,Luxembourg,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
MAC,"Macao SAR, China",EAS,East Asia and Pacific,HIC,High income,LNX,Not classified
MDG,Madagascar,SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
