countrycode,countryname,region_wbg,regionname_wbg,incomelevel,incomelevelname,lendingtype,lendingtypename
ABW,Aruba,LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified
AFE,Africa Eastern and Southern,,,,,,
AFG,Afghanistan,SAS,South Asia,LIC,Low income,IDX,IDA
AFW,Africa Western and Central,,,,,,
AGO,Angola,SSF,Sub-Saharan Africa,LMC,Lower middle income,IBD,IBRD
AIA,Anguilla,LAC,Latin America and Caribbean,HIC,High income,LNX,Not classified
ALB,Albania,ECS,Europe and Central Asia,UMC,Upper middle income,IBD,IBRD
AND,Andorra,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
ARE,United Arab Emirates,MEA,Middle East and North Africa,HIC,High income,LNX,Not classified
ARG,Argentina,LCN,Latin America and Caribbean,UMC,Upper middle income,IBD,IBRD
ARM,Armenia,ECS,Europe and Central Asia,UMC,Upper middle income,IBD,IBRD
ASM,American Samoa,EAS,East Asia and Pacific,UMC,Upper middle income,LNX,Not classified
ATG,Antigua and Barbuda,LCN,Latin America and Caribbean,HIC,High income,IBD,IBRD
AUS,Australia,EAS,East Asia and Pacific,HIC,High income,LNX,Not classified
AUT,Austria,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
AZE,Azerbaijan,ECS,Europe and Central Asia,UMC,Upper middle income,IBD,IBRD
BDI,Burundi,SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
BEL,Belgium,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
BEN,Benin,SSF,Sub-Saharan Africa,LMC,Lower middle income,IDX,IDA
BFA,Burkina Faso,SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
BGD,Bangladesh,SAS,South Asia,LMC,Lower middle income,IDX,IDA
BGR,Bulgaria,ECS,Europe and Central Asia,UMC,Upper middle income,IBD,IBRD
BHR,Bahrain,MEA,Middle East and North Africa,HIC,High income,LNX,Not classified
BHS,"Bahamas, The",LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified
BIH,Bosnia and Herzegovina,ECS,Europe and Central Asia,UMC,Upper middle income,IBD,IBRD
BLR,Belarus,ECS,Europe and Central Asia,UMC,Upper middle income,IBD,IBRD
BLZ,Belize,LCN,Latin America and Caribbean,UMC,Upper middle income,IBD,IBRD
