countrycode,year_enrollment,enrollment,se_pre_enrl,se_prm_enrl,se_sec_enrl
MLI,2018,3654688,131114,2477081,1046493
MLT,2018,66883,9426,26532,30925
MHL,2019,14260,1262,7234,5764
MRT,2015,856503,36182,632761,187560
MUS,2019,233264,25479,85730,122055
MEX,2018,33121912,4899899,14061377,14160635
FSM,1976,39245,691,23321,15233
MEA,2019,96642320,6142320,52900000,37600000
TMN,2019,82528032,4628034.5,46700000,31200000
MNA,2019,83976288,4776287.5,47200000,32000000
MIC,2019,1199598592,174598560,552000000,473000000
MDA,2019,496954,133194,139612,224148
MCO,2020,6364,1001,1971,3392
MNG,2010,659428,109479,273966,275983
MNE,2019,112165,16184,39085,56896
MAR,2019,8114746,761726,4432229,2920791
MOZ,1986,1460935,45100,1260482,155353
MMR,2018,9640610,154103,5299765,4186742
NAM,2006,587070,32736,402529,151805
NRU,2019,3340,281,1856,1203
NPL,2019,8391906,958127,3970016,3463763
NLD,2018,3282557,475053,1175018,1632486
NCL,1991,55664,11431,22325,21908
NZL,2018,992884.31,114706.6,388279,489898.72
NIC,2010,1607008,218062,923745,465201
NER,2017,3731908,177021,2768305,786582
NGA,2010,32635896,2020668,21558460,9056768
NAC,2019,64388460,8788459,27800000,27800000
MKD,2018,294620,28987,109818,155815
NOR,2018,1076585,179900,447355,449330
OED,2019,245086512,36986516,95100000,113000000
OMN,2019,814579,87956,290045,436578
OSS,2019,6880211,748880.25,3976445,2154886
PSS,2013,660817.13,85086.102,340315.5,235415.5
PAK,2019,45953216,8537946,23557724,13857545
PLW,2014,3761,518,1639,1604
PAN,2017,837246,95481,418852,322913
PNG,2016,2140561,358198,1275085,507278
PRY,2016,1519678,181007,727363,611308
PER,2019,8221238,1680320,3715130,2825788
PHL,2018,26249772,2268455,13418841,10562477
POL,2018,6031019,1361183,2277483,2392353
PRT,2018,1628985,240231,621660,767094
PST,2019,180772768,28372772,70000000,82400000
PRE,2018,223647200,19047200,151000000,53600000
PRI,2018,458593,31126,208544,218923
QAT,2019,325563,49085,159109,117369
ROU,2018,2927040,521161,947931,1457948
RUS,2018,23557060,6386677,6927980,10242404
RWA,2019,3526997,282428,2512465,732104
WSM,2016,62630,4037,32629,25964
SMR,2019,4210,883,1653,1674
STP,2016,68853,9227,36394,23232
SAU,2019,6940046,390099,3390589,3159358
SEN,2019,3574141,252330,2171967,1149844
SRB,2019,960874,167922,264194,528758
SYC,2019,19774,3066,9383,7325
SLE,2017,2059198,80119,1486939,492140
SGP,1989,505111,17858,257833,229420
SXM,2014,7538,1148,3677,2713
SVK,2018,837720,166312,229456,441952
SVN,2018,336790,60664,129123,147003
SST,2019,9067089,1074826.9,5043676,2948586
SLB,2012,183645,44438,97547,41660
SOM,1986,243740,1558,153711,88471
ZAF,2018,13271516,824169,7568387,4878960
SAS,2019,400469472,57469480,173000000,170000000
TSA,2019,400469472,57469480,173000000,170000000
SSD,2015,1548811,110824,1273852,164135
ESP,2018,7710469,1296004,3043396,3371069
LKA,2018,4917578,464189,1725424,2727965
KNA,2016,10902,1275,5452,4175
LCA,2019,30323,3236,15693,11394
VCT,2018,26661,3655,13198,9808
SSF,2018,263236384,25036390,175000000,63200000
TSS,2018,263236384,25036390,175000000,63200000
SSA,2018,263107136,25007142,175000000,63100000
SDN,2017,8171079,1066381,4899664,2205034
SUR,2018,144248,18150,67690,58408
SWE,2018,2291018,462982,893495,934541
CHE,2018,1297453,173911,514664,608878
SYR,2013,3491113,86657,1547316,1857140
TJK,2013,1802353,74448,664930,1062975
TZA,2019,14373056,1429169,10605430,2338457
THA,2019,12705131,1786826,4899076,6019229
TLS,2019,392178,24006,206512,161660
TGO,2017,2396037,143897,1524191,727949
TON,2015,35036,2254,16982,15800
TTO,2004,272599,29905,137313,105381
TUN,2016,2437162,250813,1139314,1047035
TUR,2018,17885248,1501088,5104599,11279561
TCA,2018,7073,1077,3680,2316
TUV,2019,3046,676,1688,682
UGA,2007,8917391,347900,7537971,1031520
UKR,2019,5263203,1093991,1724664,2444548
ARE,2017,1170565,155999,486086,528480
GBR,2018,12830796,1764604,4892502,6173690.5
USA,2018,58498076,8668764,24957956,24871356
UMC,2019,549433088,87433096,240000000,222000000
URY,2018,788727,136085,296791,355851
UZB,2019,7453343,874385,2505930,4073028
VUT,2015,80800,14301,45931,20568
VEN,2017,6866822,1190349,3285299,2391174
VNM,1998,19420228,2165946,10435508,6818774
VIR,1993,29652,2606,14544,12502
PSE,2019,1432443,148253,497002,787188
WLD,2019,1556526592,216526576,739000000,601000000
YEM,2016,5852325,36320,3900134,1915871
ZMB,1979,1099992,6022,996597,97373
ZWE,2013,3994773,374125,2663187,957461
